for_division_code,for_division_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,match_method
40,ENGINEERING,2203,Automotive Engineering,False,0.05,derived_empirical
40,ENGINEERING,2205,Civil and Structural Engineering,False,0.1,derived_empirical
40,ENGINEERING,2208,Electrical and Electronic Engineering,False,0.15,derived_empirical
40,ENGINEERING,2200,General Engineering,True,0.2,derived_empirical
41,ENVIRONMENTAL SCIENCES,2303,Ecology,True,0.286,derived_empirical
41,ENVIRONMENTAL SCIENCES,2304,Environmental Chemistry,False,0.286,derived_empirical
41,ENVIRONMENTAL SCIENCES,2306,Global and Planetary Change,False,0.143,derived_empirical
41,ENVIRONMENTAL SCIENCES,2308,"Management, Monitoring, Policy and Law",False,0.143,derived_empirical
41,ENVIRONMENTAL SCIENCES,2310,Pollution,False,0.143,derived_empirical
42,HEALTH SCIENCES,2707,Complementary and alternative medicine,False,0.111,derived_empirical
42,HEALTH SCIENCES,2732,Orthopedics and Sports Medicine,False,0.111,derived_empirical
42,HEALTH SCIENCES,2922,Research and Theory,False,0.111,derived_empirical
42,HEALTH SCIENCES,2724,Internal Medicine,False,0.111,derived_empirical
42,HEALTH SCIENCES,2713,Epidemiology,False,0.111,derived_empirical
42,HEALTH SCIENCES,2742,Rehabilitation,False,0.111,derived_empirical
42,HEALTH SCIENCES,2739,"Public Health, Environmental and Occupational Health",True,0.222,derived_empirical
42,HEALTH SCIENCES,2729,Obstetrics and Gynecology,False,0.111,derived_empirical
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",1204,Archeology,True,0.25,derived_empirical
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",1209,Museology,False,0.25,derived_empirical
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",1202,History,False,0.25,derived_empirical
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",1200,General Arts and Humanities,False,0.25,derived_empirical
44,HUMAN SOCIETY,3320,Political Science and International Relations,False,0.091,derived_empirical
44,HUMAN SOCIETY,3321,Public Administration,False,0.091,derived_empirical
44,HUMAN SOCIETY,3305,"Geography, Planning and Development",False,0.091,derived_empirical
44,HUMAN SOCIETY,3318,Gender Studies,False,0.091,derived_empirical
44,HUMAN SOCIETY,3314,Anthropology,False,0.091,derived_empirical
44,HUMAN SOCIETY,3317,Demography,False,0.091,derived_empirical
44,HUMAN SOCIETY,3300,General Social Sciences,False,0.182,derived_empirical
44,HUMAN SOCIETY,3312,Sociology and Political Science,True,0.182,derived_empirical
44,HUMAN SOCIETY,3303,Development,False,0.091,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1703,Computational Theory and Mathematics,False,0.071,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,3309,Library and Information Sciences,False,0.071,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1709,Human-Computer Interaction,False,0.071,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1704,Computer Graphics and Computer-Aided Design,False,0.071,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1705,Computer Networks and Communications,False,0.071,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1712,Software,False,0.143,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1710,Information Systems,False,0.143,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1706,Computer Science Applications,True,0.143,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1707,Computer Vision and Pattern Recognition,False,0.071,derived_empirical
46,INFORMATION AND COMPUTING SCIENCES,1702,Artificial Intelligence,False,0.143,derived_empirical
47,"LANGUAGE, COMMUNICATION AND CULTURE",1203,Language and Linguistics,True,0.333,derived_empirical
47,"LANGUAGE, COMMUNICATION AND CULTURE",3315,Communication,False,0.167,derived_empirical
47,"LANGUAGE, COMMUNICATION AND CULTURE",3316,Cultural Studies,False,0.167,derived_empirical
47,"LANGUAGE, COMMUNICATION AND CULTURE",1208,Literature and Literary Theory,False,0.167,derived_empirical
47,"LANGUAGE, COMMUNICATION AND CULTURE",1200,General Arts and Humanities,False,0.167,derived_empirical
48,LAW AND LEGAL STUDIES,3308,Law,True,1.0,derived_empirical
49,MATHEMATICAL SCIENCES,2604,Applied Mathematics,True,0.333,derived_empirical
49,MATHEMATICAL SCIENCES,2610,Mathematical Physics,False,0.167,derived_empirical
49,MATHEMATICAL SCIENCES,2605,Computational Mathematics,False,0.167,derived_empirical
49,MATHEMATICAL SCIENCES,2602,Algebra and Number Theory,False,0.167,derived_empirical
49,MATHEMATICAL SCIENCES,2613,Statistics and Probability,False,0.167,derived_empirical
50,PHILOSOPHY AND RELIGIOUS STUDIES,1200,General Arts and Humanities,False,0.167,derived_empirical
50,PHILOSOPHY AND RELIGIOUS STUDIES,1207,History and Philosophy of Science,False,0.167,derived_empirical
50,PHILOSOPHY AND RELIGIOUS STUDIES,1212,Religious studies,False,0.333,derived_empirical
50,PHILOSOPHY AND RELIGIOUS STUDIES,1211,Philosophy,True,0.333,derived_empirical
51,PHYSICAL SCIENCES,3103,Astronomy and Astrophysics,True,0.182,derived_empirical
51,PHYSICAL SCIENCES,3104,Condensed Matter Physics,False,0.182,derived_empirical
51,PHYSICAL SCIENCES,3106,Nuclear and High Energy Physics,False,0.182,derived_empirical
51,PHYSICAL SCIENCES,3107,"Atomic and Molecular Physics, and Optics",False,0.091,derived_empirical
51,PHYSICAL SCIENCES,3109,Statistical and Nonlinear Physics,False,0.091,derived_empirical
51,PHYSICAL SCIENCES,3108,Radiation,False,0.091,derived_empirical
51,PHYSICAL SCIENCES,3105,Instrumentation,False,0.091,derived_empirical
51,PHYSICAL SCIENCES,3102,Acoustics and Ultrasonics,False,0.091,derived_empirical
52,PSYCHOLOGY,3207,Social Psychology,False,0.167,derived_empirical
52,PSYCHOLOGY,3202,Applied Psychology,True,0.167,derived_empirical
52,PSYCHOLOGY,3206,Neuropsychology and Physiological Psychology,False,0.167,derived_empirical
52,PSYCHOLOGY,3203,Clinical Psychology,False,0.167,derived_empirical
52,PSYCHOLOGY,3205,Experimental and Cognitive Psychology,False,0.167,derived_empirical
52,PSYCHOLOGY,3200,General Psychology,False,0.167,derived_empirical
