code,level,label
2710,subfield,Embryology
2711,subfield,Emergency Medicine
2712,subfield,Endocrinology
2713,subfield,Epidemiology
2714,subfield,Family Practice
2715,subfield,Gastroenterology
2716,subfield,Genetics (clinical)
2717,subfield,Geriatrics and Gerontology
2718,subfield,Health Informatics
2719,subfield,Health Policy
2720,subfield,Hematology
2721,subfield,Hepatology
2722,subfield,Histology
2723,subfield,Immunology and Allergy
2724,subfield,Internal Medicine
2725,subfield,Infectious Diseases
2726,subfield,Microbiology (medical)
2727,subfield,Nephrology
2728,subfield,Neurology (clinical)
2729,subfield,Obstetrics and Gynecology
2730,subfield,Oncology
2731,subfield,Ophthalmology
2732,subfield,Orthopedics and Sports Medicine
2733,subfield,Otorhinolaryngology
2734,subfield,Pathology and Forensic Medicine
2735,subfield,Pediatrics
2736,subfield,Pharmacology (medical)
2737,subfield,Physiology (medical)
2738,subfield,Psychiatry and Mental Health
2739,subfield,Public Health
2740,subfield,Pulmonary and Respiratory Medicine
2741,subfield,Radiology
2742,subfield,Rehabilitation
2743,subfield,Reproductive Medicine
2744,subfield,Reviews and References (medical)
2745,subfield,Rheumatology
2746,subfield,Surgery
2747,subfield,Transplantation
2748,subfield,Urology
28,field,Neuroscience
2800,subfield,General Neuroscience
2801,subfield,Neuroscience (miscellaneous)
2802,subfield,Behavioral Neuroscience
2803,subfield,Biological Psychiatry
2804,subfield,Cellular and Molecular Neuroscience
2805,subfield,Cognitive Neuroscience
2806,subfield,Developmental Neuroscience
2807,subfield,Endocrine and Autonomic Systems
2808,subfield,Neurology
2809,subfield,Sensory Systems
29,field,Nursing
2900,subfield,General Nursing
2901,subfield,Nursing (miscellaneous)
2902,subfield,Advanced and Specialized Nursing
2903,subfield,Assessment and Diagnosis
2904,subfield,Care Planning
2905,subfield,Community and Home Care
2906,subfield,Critical Care Nursing
2907,subfield,Emergency Nursing
2908,subfield,Fundamentals and Skills
2909,subfield,Gerontology
2910,subfield,Issues
2911,subfield,Leadership and Management
2912,subfield,LPN and LVN
2913,subfield,Maternity and Midwifery
2914,subfield,Medical and Surgical Nursing
2915,subfield,Nurse Assisting
2916,subfield,Nutrition and Dietetics
2917,subfield,Oncology (nursing)
2918,subfield,Pathophysiology
2919,subfield,Pediatrics
2920,subfield,Pharmacology (nursing)
2921,subfield,Psychiatric Mental Health
2922,subfield,Research and Theory
2923,subfield,Review and Exam Preparation
30,field,Pharmacology
3000,subfield,General Pharmacology
3001,subfield,Pharmacology
3002,subfield,Drug Discovery
3003,subfield,Pharmaceutical Science
3004,subfield,Pharmacology
3005,subfield,Toxicology
31,field,Physics and Astronomy
3100,subfield,General Physics and Astronomy
3101,subfield,Physics and Astronomy (miscellaneous)
3102,subfield,Acoustics and Ultrasonics
3103,subfield,Astronomy and Astrophysics
3104,subfield,Condensed Matter Physics
3105,subfield,Instrumentation
3106,subfield,Nuclear and High Energy Physics
3107,subfield,Atomic and Molecular Physics
3108,subfield,Radiation
3109,subfield,Statistical and Nonlinear Physics
3110,subfield,Surfaces and Interfaces
32,field,Psychology
3200,subfield,General Psychology
3201,subfield,Psychology (miscellaneous)
3202,subfield,Applied Psychology
3203,subfield,Clinical Psychology
3204,subfield,Developmental and Educational Psychology
3205,subfield,Experimental and Cognitive Psychology
3206,subfield,Neuropsychology and Physiological Psychology
3207,subfield,Social Psychology
33,field,Social Sciences
3300,subfield,General Social Sciences
3301,subfield,Social Sciences (miscellaneous)
3302,subfield,Archeology
3303,subfield,Development
3304,subfield,Education
3305,subfield,Geography
3306,subfield,Health (social science)
3307,subfield,Human Factors and Ergonomics
3308,subfield,Law
3309,subfield,Library and Information Sciences
3310,subfield,Linguistics and Language
3311,subfield,Safety Research
3312,subfield,Sociology and Political Science
3313,subfield,Transportation
3314,subfield,Anthropology
3315,subfield,Communication
3316,subfield,Cultural Studies
3317,subfield,Demography
3318,subfield,Gender Studies
3319,subfield,Life-span and Life-course Studies
3320,subfield,Political Science and International Relations
3321,subfield,Public Administration
3322,subfield,Urban Studies
34,field,Veterinary
3400,subfield,General Veterinary
3401,subfield,Veterinary (miscellaneous)
3402,subfield,Equine
3403,subfield,Food Animals
3404,subfield,Small Animals
35,field,Dentistry
3500,subfield,General Dentistry
3501,subfield,Dentistry (miscellaneous)
3502,subfield,Dental Assisting
3503,subfield,Dental Hygiene
3504,subfield,Oral Surgery
3505,subfield,Orthodontics
3506,subfield,Periodontics
36,field,Health Professions
3600,subfield,General Health Professions
3601,subfield,Health Professions (miscellaneous)
3602,subfield,Chiropractics
3603,subfield,Complementary and Manual Therapy
3604,subfield,Emergency Medical Services
3605,subfield,Health Information Management
3606,subfield,Medical Assisting and Transcription
3607,subfield,Medical Laboratory Technology
3608,subfield,Medical Terminology
3609,subfield,Occupational Therapy
3610,subfield,Optometry
3611,subfield,Pharmacy
3612,subfield,Physical Therapy
3613,subfield,Podiatry
3614,subfield,Radiological and Ultrasound Technology
3615,subfield,Respiratory Care
3616,subfield,Speech and Hearing
