for_group_code,for_group_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,n_rows
4012,Fluid mechanics and thermal engineering,2206,Computational Mechanics,True,0.267,30
4013,Geomatic engineering,2202,Aerospace Engineering,True,0.133,30
4014,Manufacturing engineering,2209,Industrial and Manufacturing Engineering,True,0.133,30
4015,Maritime engineering,2212,Ocean Engineering,True,0.133,30
4016,Materials engineering,2210,Mechanical Engineering,True,0.3,30
4017,Mechanical engineering,2207,Control and Systems Engineering,True,0.2,30
4018,Nanotechnology,2208,Electrical and Electronic Engineering,True,0.133,30
4019,Resources engineering and extractive metallurgy,2205,Civil and Structural Engineering,True,0.167,30
4099,Other engineering,2210,Mechanical Engineering,True,0.133,30
4101,Climate change impacts and adaptation,2306,Global and Planetary Change,True,0.2,30
4102,Ecological applications,2306,Global and Planetary Change,True,0.1,30
4103,Environmental biotechnology,2308,"Management, Monitoring, Policy and Law",True,0.1,30
4104,Environmental management,2308,"Management, Monitoring, Policy and Law",True,0.2,30
4105,Pollution and contamination,2312,Water Science and Technology,True,0.2,30
4106,Soil sciences,1111,Soil Science,True,0.067,30
4199,Other environmental sciences,1207,History and Philosophy of Science,True,0.133,30
4201,Allied health and rehabilitation science,3609,Occupational Therapy,True,0.167,30
4202,Epidemiology,3306,Health,True,0.067,30
4203,Health services and systems,3600,General Health Professions,True,0.167,30
4204,Midwifery,3203,Clinical Psychology,True,0.167,30
4205,Nursing,3600,General Health Professions,True,0.2,30
4206,Public health,3600,General Health Professions,True,0.233,30
4207,Sports science and exercise,2204,Biomedical Engineering,True,0.067,30
4208,"Traditional, complementary and integrative medicine",2707,Complementary and alternative medicine,True,0.1,30
4299,Other health sciences,2739,"Public Health, Environmental and Occupational Health",True,0.1,30
4301,Archaeology,1207,History and Philosophy of Science,True,0.133,30
4302,"Heritage, archive and museum studies",1204,Archeology,True,0.133,30
4303,Historical studies,3312,Sociology and Political Science,True,0.267,30
4399,"Other history, heritage and archaeology",3312,Sociology and Political Science,True,0.167,30
4401,Anthropology,3312,Sociology and Political Science,True,0.2,30
4402,Criminology,3312,Sociology and Political Science,True,0.2,30
4403,Demography,3312,Sociology and Political Science,True,0.2,30
4404,Development studies,3312,Sociology and Political Science,True,0.3,30
4405,Gender studies,3318,Gender Studies,True,0.233,30
4406,Human geography,3312,Sociology and Political Science,True,0.233,30
4407,Policy and administration,2002,Economics and Econometrics,True,0.2,30
4408,Political science,3320,Political Science and International Relations,True,0.167,30
4409,Social work,3304,Education,True,0.167,30
4410,Sociology,3312,Sociology and Political Science,True,0.2,30
4499,Other human society,3320,Political Science and International Relations,True,0.133,30
4601,Applied computing,3304,Education,True,0.3,30
4602,Artificial intelligence,1702,Artificial Intelligence,True,0.3,30
4603,Computer vision and multimedia computation,1707,Computer Vision and Pattern Recognition,True,0.333,30
4604,Cybersecurity and privacy,1710,Information Systems,True,0.267,30
4605,Data management and data science,1710,Information Systems,True,0.233,30
4606,Distributed computing and systems software,1705,Computer Networks and Communications,True,0.133,30
4607,"Graphics, augmented reality and games",2202,Aerospace Engineering,True,0.1,30
4608,Human-centred computing,3304,Education,True,0.2,30
4609,Information systems,3304,Education,True,0.233,30
4610,Library and information studies,1710,Information Systems,True,0.133,30
4611,Machine learning,1702,Artificial Intelligence,True,0.3,30
4612,Software engineering,1710,Information Systems,True,0.067,30
4613,Theory of computation,1702,Artificial Intelligence,True,0.167,30
4699,Other information and computing sciences,1207,History and Philosophy of Science,True,0.167,30
4701,Communication and media studies,3315,Communication,True,0.2,30
4702,Cultural studies,3312,Sociology and Political Science,True,0.133,30
4703,Language studies,3312,Sociology and Political Science,True,0.167,30
4704,Linguistics,1203,Language and Linguistics,True,0.333,30
4705,Literary studies,1208,Literature and Literary Theory,True,0.233,30
4799,"Other language, communication and culture",1203,Language and Linguistics,True,0.1,30
4801,Commercial law,3308,Law,True,0.167,30
4802,Environmental and resources law,2306,Global and Planetary Change,True,0.2,30
4803,International and comparative law,3320,Political Science and International Relations,True,0.333,30
4804,Law in context,3318,Gender Studies,True,0.167,30
4805,Legal systems,3308,Law,True,0.133,30
4806,Private law and civil obligations,2505,Materials Chemistry,True,0.2,30
4807,Public law,3312,Sociology and Political Science,True,0.3,30
4899,Other law and legal studies,3320,Political Science and International Relations,True,0.3,30
4901,Applied mathematics,1803,Management Science and Operations Research,True,0.1,30
4902,Mathematical physics,2610,Mathematical Physics,True,0.167,30
4903,Numerical and computational mathematics,2604,Applied Mathematics,True,0.133,30
4904,Pure mathematics,2610,Mathematical Physics,True,0.2,30
4905,Statistics,1702,Artificial Intelligence,True,0.133,30
4999,Other mathematical sciences,1207,History and Philosophy of Science,True,0.2,30
5001,Applied ethics,3312,Sociology and Political Science,True,0.167,30
5002,History and philosophy of specific fields,1207,History and Philosophy of Science,True,0.167,30
5003,Philosophy,3312,Sociology and Political Science,True,0.2,30
5004,Religious studies,3312,Sociology and Political Science,True,0.267,30
5005,Theology,1211,Philosophy,True,0.5,10
5099,Other philosophy and religious studies,3312,Sociology and Political Science,True,0.1,30
5101,Astronomical sciences,3103,Astronomy and Astrophysics,True,0.2,30
5102,"Atomic, molecular and optical physics",3107,"Atomic and Molecular Physics, and Optics",True,0.267,30
5103,Classical physics,3107,"Atomic and Molecular Physics, and Optics",True,0.1,30
5104,Condensed matter physics,2505,Materials Chemistry,True,0.1,30
5105,Medical and biological physics,2736,Pharmacology,True,0.1,30
5106,Nuclear and plasma physics,3106,Nuclear and High Energy Physics,True,0.2,30
5107,Particle and high energy physics,3106,Nuclear and High Energy Physics,True,0.1,30
5108,Quantum physics,3107,"Atomic and Molecular Physics, and Optics",True,0.2,30
5109,Space sciences,3103,Astronomy and Astrophysics,True,0.133,30
5110,Synchrotrons and accelerators,1803,Management Science and Operations Research,True,0.1,30
5199,Other physical sciences,3109,Statistical and Nonlinear Physics,True,0.067,30
5201,Applied and developmental psychology,3204,Developmental and Educational Psychology,True,0.167,30
5202,Biological psychology,3312,Sociology and Political Science,True,0.133,30
5203,Clinical and health psychology,3203,Clinical Psychology,True,0.167,30
5204,Cognitive and computational psychology,1803,Management Science and Operations Research,True,0.1,30
5205,Social and personality psychology,3318,Gender Studies,True,0.333,30
5299,Other psychology,3207,Social Psychology,True,0.158,19
