for_group_code,for_group_label,openalex_domain_id,openalex_domain_label,is_primary,share,n_rows
4601,Applied computing,2,Social Sciences,True,0.533,30
4602,Artificial intelligence,3,Physical Sciences,True,0.433,30
4603,Computer vision and multimedia computation,3,Physical Sciences,True,0.533,30
4604,Cybersecurity and privacy,3,Physical Sciences,True,0.667,30
4605,Data management and data science,3,Physical Sciences,True,0.4,30
4606,Distributed computing and systems software,3,Physical Sciences,True,0.467,30
4607,"Graphics, augmented reality and games",3,Physical Sciences,True,0.367,30
4608,Human-centred computing,2,Social Sciences,True,0.433,30
4609,Information systems,2,Social Sciences,True,0.3,30
4610,Library and information studies,2,Social Sciences,True,0.633,30
4611,Machine learning,3,Physical Sciences,True,0.667,30
4612,Software engineering,3,Physical Sciences,True,0.267,30
4613,Theory of computation,3,Physical Sciences,True,0.5,30
4699,Other information and computing sciences,3,Physical Sciences,True,0.333,30
4701,Communication and media studies,2,Social Sciences,True,0.4,30
4702,Cultural studies,2,Social Sciences,True,0.433,30
4703,Language studies,2,Social Sciences,True,0.533,30
4704,Linguistics,2,Social Sciences,True,0.467,30
4705,Literary studies,2,Social Sciences,True,0.5,30
4799,"Other language, communication and culture",2,Social Sciences,True,0.3,30
4801,Commercial law,2,Social Sciences,True,0.533,30
4802,Environmental and resources law,3,Physical Sciences,True,0.367,30
4803,International and comparative law,2,Social Sciences,True,0.8,30
4804,Law in context,2,Social Sciences,True,0.533,30
4805,Legal systems,2,Social Sciences,True,0.433,30
4806,Private law and civil obligations,3,Physical Sciences,True,0.433,30
4807,Public law,2,Social Sciences,True,0.8,30
4899,Other law and legal studies,2,Social Sciences,True,0.633,30
4901,Applied mathematics,3,Physical Sciences,True,0.333,30
4902,Mathematical physics,3,Physical Sciences,True,0.4,30
4903,Numerical and computational mathematics,3,Physical Sciences,True,0.4,30
4904,Pure mathematics,3,Physical Sciences,True,0.633,30
4905,Statistics,3,Physical Sciences,True,0.3,30
4999,Other mathematical sciences,2,Social Sciences,True,0.233,30
5001,Applied ethics,2,Social Sciences,True,0.5,30
5002,History and philosophy of specific fields,2,Social Sciences,True,0.333,30
5003,Philosophy,2,Social Sciences,True,0.5,30
5004,Religious studies,2,Social Sciences,True,0.633,30
5005,Theology,2,Social Sciences,True,0.8,10
5099,Other philosophy and religious studies,2,Social Sciences,True,0.3,30
5101,Astronomical sciences,3,Physical Sciences,True,0.333,30
5102,"Atomic, molecular and optical physics",3,Physical Sciences,True,0.4,30
5103,Classical physics,3,Physical Sciences,True,0.333,30
5104,Condensed matter physics,3,Physical Sciences,True,0.233,30
5105,Medical and biological physics,4,Health Sciences,True,0.3,30
5106,Nuclear and plasma physics,3,Physical Sciences,True,0.533,30
5107,Particle and high energy physics,3,Physical Sciences,True,0.3,30
5108,Quantum physics,3,Physical Sciences,True,0.267,30
5109,Space sciences,3,Physical Sciences,True,0.3,30
5110,Synchrotrons and accelerators,3,Physical Sciences,True,0.233,30
5199,Other physical sciences,3,Physical Sciences,True,0.167,30
5201,Applied and developmental psychology,2,Social Sciences,True,0.367,30
5202,Biological psychology,2,Social Sciences,True,0.467,30
5203,Clinical and health psychology,4,Health Sciences,True,0.433,30
5204,Cognitive and computational psychology,2,Social Sciences,True,0.167,30
5205,Social and personality psychology,2,Social Sciences,True,0.7,30
5299,Other psychology,2,Social Sciences,True,0.526,19
