code,level,label,parent_code
310499,field,Evolutionary biology not elsewhere classified,3104
3105,group,Genetics,31
310501,field,Anthropological genetics,3105
310502,field,Cell and nuclear division,3105
310503,field,Developmental genetics (incl. sex determination),3105
310504,field,Epigenetics (incl. genome methylation and epigenomics),3105
310505,field,Gene expression (incl. microarray and other genome-wide approaches),3105
310506,field,Gene mapping,3105
310507,field,Genetic immunology,3105
310508,field,Genome structure and regulation,3105
310509,field,Genomics,3105
310510,field,Molecular evolution,3105
310511,field,Neurogenetics,3105
310599,field,Genetics not elsewhere classified,3105
3106,group,Industrial biotechnology,31
310601,field,Biocatalysis and enzyme technology,3106
310602,field,"Bioprocessing, bioproduction and bioproducts",3106
310603,field,Fermentation,3106
310604,field,Industrial biotechnology diagnostics (incl. biosensors),3106
310605,field,Industrial microbiology (incl. biofeedstocks),3106
310606,field,Industrial molecular engineering of nucleic acids and proteins,3106
310607,field,Nanobiotechnology,3106
310699,field,Industrial biotechnology not elsewhere classified,3106
3107,group,Microbiology,31
310701,field,Bacteriology,3107
310702,field,Infectious agents,3107
310703,field,Microbial ecology,3107
310704,field,Microbial genetics,3107
310705,field,Mycology,3107
310706,field,Virology,3107
310799,field,Microbiology not elsewhere classified,3107
3108,group,Plant biology,31
310801,field,Phycology (incl. marine grasses),3108
310802,field,Plant biochemistry,3108
310803,field,Plant cell and molecular biology,3108
310804,field,Plant developmental and reproductive biology,3108
310805,field,Plant pathology,3108
310806,field,Plant physiology,3108
310899,field,Plant biology not elsewhere classified,3108
3109,group,Zoology,31
310901,field,Animal behaviour,3109
310902,field,Animal cell and molecular biology,3109
310903,field,Animal developmental and reproductive biology,3109
310904,field,Animal diet and nutrition,3109
310905,field,Animal immunology,3109
310906,field,Animal neurobiology,3109
310907,field,Animal physiological ecology,3109
310908,field,Animal physiology - biophysics,3109
310909,field,Animal physiology - cell,3109
310910,field,Animal physiology - systems,3109
310911,field,Animal structure and function,3109
310912,field,Comparative physiology,3109
310913,field,Invertebrate biology,3109
310914,field,Vertebrate biology,3109
310999,field,Zoology not elsewhere classified,3109
3199,group,Other biological sciences,31
319901,field,Forensic biology,3199
319902,field,Global change biology,3199
319999,field,Other biological sciences not elsewhere classified,3199
32,division,BIOMEDICAL AND CLINICAL SCIENCES,
3201,group,Cardiovascular medicine and haematology,32
320101,field,Cardiology (incl. cardiovascular diseases),3201
320102,field,Haematology,3201
320103,field,Respiratory diseases,3201
