source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
NABS2007,22,NABS2007 chapter Information and communication services,SEO,1307,Understanding past societies,group,False,lexical,0.337,lexical tiebreak among 15 same-specificity candidates; excluded: 150505 Industry policy
NABS2007,22,NABS2007 chapter Information and communication services,SEO,2104,Aboriginal and Torres Strait Islander heritage and culture,group,False,lexical,0.354,lexical tiebreak among 15 same-specificity candidates; excluded: 150505 Industry policy
NABS2007,22,NABS2007 chapter Information and communication services,SEO,2112,Pacific Peoples heritage and culture,group,False,lexical,0.374,lexical tiebreak among 15 same-specificity candidates; excluded: 150505 Industry policy
NABS2007,22,NABS2007 chapter Information and communication services,SEO,1203,Construction materials performance and processes,group,False,lexical,0.408,lexical tiebreak among 15 same-specificity candidates; excluded: 150505 Industry policy
NABS2007,22,NABS2007 chapter Information and communication services,SEO,2203,Information services,group,True,lexical,0.533,lexical tiebreak among 15 same-specificity candidates; excluded: 150505 Industry policy
NABS2007,22,NABS2007 chapter Information and communication services,SEO,2205,Media services,group,False,lexical,0.29,lexical tiebreak among 15 same-specificity candidates; excluded: 150505 Industry policy
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,1505,Microeconomics,group,False,lexical,0.149,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2303,International relations,group,False,lexical,0.263,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2304,Justice and the law,group,False,lexical,0.306,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,1902,"Environmental policy, legislation and standards",group,False,lexical,0.34,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2302,Government and politics,group,False,lexical,0.342,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2305,Work and labour market,group,False,lexical,0.24,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2301,Community services,group,False,lexical,0.507,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2105,Ngā ratonga hapori Māori (Māori community services),group,False,lexical,0.577,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2109,Pacific Peoples community services,group,False,lexical,0.598,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2399,"Other law, politics and community services",group,True,lexical,0.842,lexical tiebreak among 11 same-specificity candidates
NABS2007,23,"NABS2007 chapter Law, Politics and Community Services",SEO,2101,Aboriginal and Torres Strait Islander community services,group,False,lexical,0.477,lexical tiebreak among 11 same-specificity candidates
NABS2007,24,NABS2007 chapter Manufacturing,SEO,1803,"Fresh, ground and surface water systems and management",group,True,lexical,0.333,lexical tiebreak among 2 same-specificity candidates
NABS2007,24,NABS2007 chapter Manufacturing,SEO,1503,Management and productivity,group,False,lexical,0.246,lexical tiebreak among 2 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,1599,Other economic framework,group,False,lexical,0.217,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2299,Other information and communication services,group,False,lexical,0.214,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2499,Other manufacturing,group,False,lexical,0.205,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2410,Instrumentation,group,False,lexical,0.189,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2404,"Computer, electronic and communication equipment",group,False,lexical,0.187,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2415,Transport equipment,group,False,lexical,0.179,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,1903,Mitigation of climate change,group,False,lexical,0.161,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2405,Dairy products,group,False,lexical,0.164,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,1905,Understanding climate change,group,False,lexical,0.161,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2417,"Wood, wood products and paper",group,False,lexical,0.136,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,1505,Microeconomics,group,False,lexical,0.11,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2401,Agricultural chemicals,group,False,lexical,0.222,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2413,Processed food products and beverages (excl. dairy products),group,False,lexical,0.167,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2416,Veterinary pharmaceutical products,group,False,lexical,0.237,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2414,"Processed non-food agriculture products (excl. wood, paper and fibre)",group,False,lexical,0.419,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2204,"Information systems, technologies and services",group,False,lexical,0.248,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2501,Environmentally sustainable mineral resource activities,group,False,lexical,0.239,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2599,Other mineral resources (excl. energy resources),group,True,lexical,0.86,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2411,"Leather products, fibre processing and textiles",group,False,lexical,0.34,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2407,Fabricated metal products,group,False,lexical,0.333,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,1804,Management of Antarctic and Southern Ocean environments,group,False,lexical,0.298,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2409,Industrial chemicals and related products,group,False,lexical,0.28,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2502,First stage treatment of minerals,group,False,lexical,0.308,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2402,Basic metal products,group,False,lexical,0.278,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2412,Machinery and equipment,group,False,lexical,0.268,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2403,"Ceramics, glass and industrial mineral products",group,False,lexical,0.264,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2408,Human pharmaceutical products,group,False,lexical,0.25,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,1504,Measurement standards and calibration services,group,False,lexical,0.248,lexical tiebreak among 29 same-specificity candidates
NABS2007,25,NABS2007 chapter Mineral Resources (excl. Energy Resources),SEO,2504,Primary mining and extraction of minerals,group,False,lexical,0.28,lexical tiebreak among 29 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,2606,Industrial crops,group,False,lexical,0.211,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,1004,Livestock raising,group,False,lexical,0.026,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,2602,Forestry,group,False,lexical,0.118,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,1003,Fisheries - wild caught,group,False,lexical,0.12,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,2603,Grains and seeds,group,False,lexical,0.237,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,2605,Horticultural crops,group,False,lexical,0.177,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,1005,"Pasture, browse and fodder crops",group,False,lexical,0.283,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,2604,Harvesting and packaging of plant products,group,False,lexical,0.353,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,1006,Primary products from animals,group,False,lexical,0.36,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,1099,Other animal production and animal primary products,group,False,lexical,0.739,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,2699,Other plant production and plant primary products,group,True,lexical,0.862,lexical tiebreak among 12 same-specificity candidates
NABS2007,26,NABS2007 chapter Plant production and plant primary products,SEO,1805,Marine systems and management,group,False,lexical,0.27,lexical tiebreak among 12 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2406,Environmentally sustainable manufacturing activities,group,False,lexical,0.179,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2202,Environmentally sustainable information and communication services,group,False,lexical,0.217,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1902,"Environmental policy, legislation and standards",group,False,lexical,0.219,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2503,Mineral exploration,group,False,lexical,0.222,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1999,"Other environmental policy, climate change and natural hazards",group,False,lexical,0.227,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1205,Construction processes,group,False,lexical,0.25,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1204,Construction planning,group,False,lexical,0.255,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1806,Terrestrial systems and management,group,False,lexical,0.267,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2601,Environmentally sustainable plant production,group,False,lexical,0.286,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2201,"Communication technologies, systems and services",group,False,lexical,0.324,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1299,Other construction,group,False,lexical,0.318,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1904,Natural hazards,group,False,lexical,0.341,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2702,Environmentally sustainable transport activities,group,False,lexical,0.384,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2703,Ground transport,group,False,lexical,0.524,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2701,Aerospace transport,group,False,lexical,0.578,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2799,Other transport,group,False,lexical,0.634,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,2704,Water transport,group,True,lexical,0.683,lexical tiebreak among 18 same-specificity candidates
NABS2007,27,NABS2007 chapter Transport,SEO,1899,Other environmental management,group,False,lexical,0.286,lexical tiebreak among 18 same-specificity candidates
NABS2007,28,NABS2007 chapter Expanding Knowledge,SEO,2801,Expanding knowledge,group,True,explicit_official,1.0,
NABS2007,88,NABS2007 chapter Transport,SEO,270106,Space transport,objective,True,explicit_official,1.0,
