code,level,label,parent_code
10131,topic,Gold and Silver Nanoparticles Synthesis and Applications,2504
10132,topic,Advanced ceramic materials synthesis,2503
10133,topic,Media Studies and Communication,3315
10134,topic,Inflammatory Bowel Disease,1311
10135,topic,Insect-Plant Interactions and Control,1109
10136,topic,Statistical Methods and Inference,2613
10137,topic,Multiple Sclerosis Research Studies,2734
10138,topic,Network Traffic and Congestion Control,1705
10139,topic,Heavy metals in environment,2310
10140,topic,Food composition and properties,2916
10141,topic,Probiotics and Fermented Foods,1106
10142,topic,Formal Methods in Verification,1703
10143,topic,Chronic Obstructive Pulmonary Disease (COPD) Research,2740
10144,topic,Blood Pressure and Hypertension Studies,2705
10145,topic,Consumer Behavior in Brand Consumption and Identification,1406
10146,topic,Cervical Cancer and HPV Research,2713
10147,topic,Antibiotic Resistance in Bacteria,1313
10148,topic,Advanced MIMO Systems Optimization,2208
10149,topic,Anthropological Studies and Insights,3314
10150,topic,Antifungal resistance and susceptibility,2725
10151,topic,Hepatitis C virus research,2721
10152,topic,Animal Nutrition and Physiology,1103
10153,topic,"Education, sociology, and vocational training",3312
10154,topic,Customer Service Quality and Loyalty,1407
10155,topic,Nitric Oxide and Endothelin Effects,2737
10156,topic,"LGBTQ Health, Identity, and Policy",3207
10157,topic,Sports Performance and Training,2732
10158,topic,Cancer Immunotherapy and Biomarkers,2730
10159,topic,Ionosphere and magnetosphere dynamics,3103
10160,topic,Seismic Performance and Analysis,2205
10161,topic,Rock Mechanics and Modeling,2211
10162,topic,Online and Blended Learning,3304
10163,topic,Metal complexes synthesis and properties,2730
10164,topic,Quality and Supply Management,1404
10165,topic,Classical Antiquity Studies,3314
10166,topic,Mosquito-borne diseases and control,2739
10167,topic,Influenza Virus Research Studies,2713
10168,topic,COVID-19 and Mental Health,3203
10169,topic,Protein Kinase Regulation and GTPase Signaling,1312
10170,topic,Retinal Diseases and Treatments,2731
10171,topic,Biofuel production and bioconversion,2204
10172,topic,Cardiac Valve Diseases and Treatments,2705
10173,topic,Computational Fluid Dynamics and Aerodynamics,2206
10174,topic,Animal Behavior and Reproduction,1105
10175,topic,Advanced DC-DC Converters,2208
10176,topic,Mesenchymal stem cell research,2716
10177,topic,Palliative Care and End-of-Life Issues,2739
10178,topic,Cancer survivorship and care,2730
10179,topic,Supercapacitor Materials and Fabrication,2504
10180,topic,Analytical chemistry methods development,1602
10181,topic,Natural Language Processing Techniques,1702
10182,topic,Child and Adolescent Psychosocial and Emotional Development,3203
10183,topic,Breast Cancer Treatment Studies,1306
10184,topic,Plant Molecular Biology Research,1110
10185,topic,Lymphoma Diagnosis and Treatment,2734
10186,topic,Nursing education and management,2922
10187,topic,Radio Frequency Integrated Circuit Design,2208
10188,topic,Advanced machining processes and optimization,2210
10189,topic,Anesthesia and Pain Management,2746
10190,topic,Air Quality and Health Impacts,2307
10191,topic,Robotics and Sensor-Based Localization,2202
10192,topic,Catalytic Processes in Materials Science,2505
10193,topic,Coronary Interventions and Diagnostics,2746
10194,topic,Nonlinear Partial Differential Equations,2604
10195,topic,Antimicrobial Resistance in Staphylococcus,2725
10196,topic,Pain Mechanisms and Treatments,2737
10197,topic,Membrane Separation Technologies,2312
10198,topic,Heart Failure Treatment and Management,2705
10199,topic,Wildlife Ecology and Conservation,2303
10200,topic,Rheumatoid Arthritis Research and Therapies,2745
10201,topic,Speech Recognition and Synthesis,1702
10202,topic,Lung Cancer Diagnosis and Treatment,2740
10203,topic,Recommender Systems and Techniques,1710
10204,topic,Microstructure and mechanical properties,2505
10205,topic,Advanced Fiber Optic Sensors,2208
10206,topic,Meta-analysis and systematic reviews,1804
10207,topic,Advanced biosensing and bioanalysis techniques,1312
10208,topic,Labor market dynamics and wage inequality,2002
10209,topic,Global Maternal and Child Health,2735
10210,topic,Advanced oxidation water treatment,2312
10211,topic,Computational Drug Discovery Methods,1703
10212,topic,Electrochemical sensors and biosensors,2208
10213,topic,Public Policy and Administration Research,3321
10214,topic,Psychotherapy Techniques and Applications,3203
10215,topic,Semantic Web and Ontologies,1702
10216,topic,"Migration, Refugees, and Integration",3312
10217,topic,Cardiac electrophysiology and arrhythmias,2705
10218,topic,Sepsis Diagnosis and Treatment,2713
10219,topic,Mechanical Behavior of Composites,2211
10220,topic,Machine Fault Diagnosis Techniques,2207
10221,topic,Composite Structure Analysis and Optimization,2211
10222,topic,Genomics and Chromatin Dynamics,1312
10223,topic,Microgrid Control and Optimization,2207
10224,topic,Quantum Chromodynamics and Particle Interactions,3106
10225,topic,Essential Oils and Antimicrobial Activity,1106
10226,topic,Land Use and Ecosystem Services,2306
10227,topic,Acute Ischemic Stroke Management,2713
10228,topic,Multilevel Inverters and Converters,2208
10229,topic,Geometric Analysis and Curvature Flows,2604
10230,topic,Marine and fisheries research,2306
10231,topic,Pancreatic and Hepatic Oncology Research,2730
10232,topic,Optical Network Technologies,2208
10233,topic,Geotechnical Engineering and Soil Mechanics,2205
10234,topic,Obstructive Sleep Apnea Research,2737
10235,topic,Health disparities and outcomes,3306
10236,topic,Aquatic Ecosystems and Phytoplankton Dynamics,2304
10237,topic,Cryptography and Data Security,1702
10238,topic,Spine and Intervertebral Disc Pathology,2734
10239,topic,Urban Planning and Governance,3322
10240,topic,Plant tissue culture and regeneration,1312
10241,topic,Functional Brain Connectivity Studies,2805
10242,topic,Posttraumatic Stress Disorder Research,3203
10243,topic,Statistical Methods and Bayesian Inference,2613
10244,topic,Chaos control and synchronization,3109
10245,topic,Metamaterials and Metasurfaces Applications,2504
10246,topic,Mobile Ad Hoc Networks,1705
10247,topic,Perovskite Materials and Applications,2208
10248,topic,Nonlinear Waves and Solitons,3109
10249,topic,Distributed Control Multi-Agent Systems,1705
10250,topic,Glaucoma and retinal disorders,2731
10251,topic,Solar and Space Plasma Dynamics,3103
10252,topic,Microbial Natural Products and Biosynthesis,2736
10253,topic,Sarcoma Diagnosis and Treatment,2740
10254,topic,Innovations in Medical Education,2739
10255,topic,Oceanographic and Atmospheric Processes,1910
10256,topic,Drug Solubulity and Delivery Systems,3003
10257,topic,Oral microbiology and periodontitis research,3506
10258,topic,Philosophy and Theoretical Science,3205
10259,topic,Sociology and Education Studies,3312
10260,topic,Software Engineering Research,1710
10261,topic,Genetic Associations and Epidemiology,1311
10262,topic,Microwave Engineering and Waveguides,2208
10263,topic,Eating Disorders and Behaviors,3203
10264,topic,Asphalt Pavement Performance Evaluation,2205
10265,topic,Multilingual Education and Policy,3310
10266,topic,Plant Water Relations and Carbon Dynamics,2306
10267,topic,Higher Education Research Studies,3304
10268,topic,Developmental Biology and Gene Regulation,1312
10269,topic,Epigenetics and DNA Methylation,1312
10270,topic,Blockchain Technology Applications and Security,1710
10271,topic,Seismic Imaging and Inversion Techniques,1908
10272,topic,Mental Health Treatment and Access,3207
10273,topic,IoT and Edge/Fog Computing,1705
10274,topic,Synthesis and biological activity,1605
10275,topic,2D Materials and Applications,2505
10276,topic,Helicobacter pylori-related gastroenterology studies,2746
10277,topic,Vitamin D Research Studies,2734
10278,topic,Electric Motor Design and Analysis,2208
10279,topic,Urinary Bladder and Prostate Research,2748
10280,topic,Shoulder Injury and Treatment,2746
10281,topic,Advanced Battery Materials and Technologies,2208
10282,topic,Financial Risk and Volatility Modeling,2003
10283,topic,Hearing Loss and Rehabilitation,2805
10284,topic,Anaerobic Digestion and Biogas Production,2215
10285,topic,Venous Thromboembolism Diagnosis and Management,2724
10286,topic,Information Retrieval and Search Behavior,1710
10287,topic,Algebraic structures and combinatorial models,2608
10288,topic,Fractional Differential Equations Solutions,2611
10289,topic,European Union Policy and Governance,3320
10290,topic,Pregnancy and preeclampsia studies,2729
10291,topic,Dialysis and Renal Disease Management,2727
10292,topic,Acute Myocardial Infarction Research,2705
10293,topic,Thyroid Disorders and Treatments,2712
10294,topic,Cell death mechanisms and regulation,1312
10295,topic,Plasmonic and Surface Plasmon Research,2204
10296,topic,Vector-borne infectious diseases,2405
10297,topic,Philosophical Ethics and Theory,1211
10298,topic,Urban Transport and Accessibility,3313
10299,topic,Photonic and Optical Devices,2208
10300,topic,Congenital Heart Disease Studies,2713
10301,topic,Mitochondrial Function and Pathology,1312
10302,topic,Fish Ecology and Management Studies,2309
10303,topic,Photosynthetic Processes and Mechanisms,1312
10304,topic,Geometric and Algebraic Topology,2608
10305,topic,Power System Optimization and Stability,2208
10306,topic,Liquid Crystal Research Advancements,2504
10307,topic,Head and Neck Cancer Studies,2733
10308,topic,Systemic Lupus Erythematosus Research,2745
10309,topic,Acute Myeloid Leukemia Research,2720
10310,topic,Corrosion Behavior and Inhibition,2505
10311,topic,Advancements in Solid Oxide Fuel Cells,2505
10312,topic,"Health, Nursing, Elderly Care",3600
10313,topic,Surface Modification and Superhydrophobicity,2508
10314,topic,Social and Intergroup Psychology,3312
10315,topic,Decision-Making and Behavioral Economics,1800
10316,topic,Sleep and related disorders,3205
10317,topic,Advanced Database Systems and Queries,1705
10318,topic,Criminal Justice and Corrections Analysis,3312
10319,topic,"Conservation, Biodiversity, and Resource Management",2306
10320,topic,Neural Networks and Applications,1702
10321,topic,Quantum Dots Synthesis And Properties,2505
10322,topic,Respiratory Support and Mechanisms,2740
10323,topic,Analog and Mixed-Signal Circuit Design,2204
10324,topic,Microbial bioremediation and biosurfactants,2310
10325,topic,Astro and Planetary Science,3103
10326,topic,Indoor and Outdoor Localization Technologies,2208
10327,topic,Adolescent Sexual and Reproductive Health,3600
10328,topic,Supply Chain and Inventory Management,1404
10329,topic,Thyroid Cancer Diagnosis and Treatment,2712
10330,topic,Hydrology and Watershed Management Studies,2312
10331,topic,Video Surveillance and Tracking Methods,1707
10332,topic,Amphibian and Reptile Biology,2306
10333,topic,Meat and Animal Product Quality,1103
10334,topic,"Hearing, Cochlea, Tinnitus, Genetics",2809
10335,topic,Colorectal Cancer Surgical Treatments,2730
10336,topic,Cancer Cells and Metastasis,2730
10337,topic,Liver Disease and Transplantation,2721
10338,topic,Advanced Sensor and Energy Harvesting Materials,2204
10339,topic,Advanced Numerical Methods in Computational Mathematics,2206
10340,topic,Hepatitis B Virus Studies,2713
10341,topic,Coral and Marine Ecosystems Studies,2303
10342,topic,Circadian rhythm and melatonin,2807
10343,topic,"Hydrogels: synthesis, properties, applications",1313
10344,topic,Management and Organizational Studies,1407
10345,topic,Hematopoietic Stem Cell Transplantation,2720
10346,topic,Magnetic confinement fusion research,3106
10347,topic,Atmospheric aerosols and clouds,2306
10348,topic,"Indigenous Health, Education, and Rights",3306
10349,topic,Migration and Labor Dynamics,3312
10350,topic,Electronic Health Records Systems,3605
10351,topic,Liver Disease Diagnosis and Treatment,2713
10352,topic,Physical Activity and Health,2737
10353,topic,Zeolite Catalysis and Synthesis,1604
10354,topic,Catalytic C–H Functionalization Methods,1605
10355,topic,Impact of Technology on Adolescents,3312
10356,topic,Orthodontics and Dentofacial Orthopedics,3505
10357,topic,Efficiency Analysis Using DEA,1803
10358,topic,Advanced Radiotherapy Techniques,3108
10359,topic,Dental Implant Techniques and Outcomes,3504
10360,topic,Fluid Dynamics and Turbulent Flows,2206
10361,topic,Silicon Carbide Semiconductor Technologies,2208
10362,topic,Biblical Studies and Interpretation,1212
10363,topic,Low-power high-performance VLSI design,2208
10364,topic,Reproductive Biology and Fertility,2739
10365,topic,Gastrointestinal motility and disorders,2715
10366,topic,Discourse Analysis in Language Studies,1208
10367,topic,Agricultural Innovations and Practices,1100
10368,topic,Dental Health and Care Utilization,3506
10369,topic,Advanced MEMS and NEMS Technologies,2208
10370,topic,Traffic and Road Safety,2213
10371,topic,Immune Response and Inflammation,2403
10372,topic,Cardiac Imaging and Diagnostics,2741
10373,topic,Renal Transplantation Outcomes and Treatments,2747
10374,topic,Advanced Graph Theory Research,1703
10375,topic,Pharmacogenetics and Drug Metabolism,3004
10376,topic,Suicide and Self-Harm Studies,3203
10377,topic,Metal and Thin Film Mechanics,2211
10378,topic,Advanced MRI Techniques and Applications,2741
10379,topic,Cellular Mechanics and Interactions,1307
10380,topic,Intimate Partner and Family Violence,3306
10381,topic,Ophthalmology and Visual Impairment Studies,2713
10382,topic,Quantum and electron transport phenomena,3107
10383,topic,"Language, Discourse, Communication Strategies",1203
10384,topic,Laser-Plasma Interactions and Diagnostics,3106
10385,topic,Plant Diversity and Evolution,1105
10386,topic,Microstructure and Mechanical Properties of Steels,2210
10387,topic,Fatty Acid Research and Health,2916
10388,topic,Advanced Steganography and Watermarking Techniques,1707
10389,topic,Polymer crystallization and properties,2507
10390,topic,Ovarian function and disorders,2743
10391,topic,Healthcare Policy and Management,2002
10392,topic,Cutaneous Melanoma Detection and Management,2730
10393,topic,Economic Growth and Productivity,2002
10394,topic,Lipoproteins and Cardiovascular Health,2746
10395,topic,Construction Project Management and Performance,1803
10396,topic,Fatigue and fracture mechanics,2211
10397,topic,Nutrition and Health in Aging,2737
10398,topic,Groundwater and Isotope Geochemistry,1906
10399,topic,Hydrocarbon exploration and reservoir analysis,2211
10400,topic,Network Security and Intrusion Detection,1705
10401,topic,Diabetes Treatment and Management,2712
10402,topic,Phase Equilibria and Thermodynamics,2204
10403,topic,Phonetics and Phonology Research,3205
10404,topic,Enzyme Catalysis and Immobilization,1312
10405,topic,Advanced Polymer Synthesis and Characterization,1605
10406,topic,Planetary Science and Exploration,3103
10407,topic,Lipid Membrane Structure and Behavior,1312
10408,topic,Chronic Kidney Disease and Diabetes,2727
10409,topic,Fuel Cells and Related Materials,2208
10410,topic,COVID-19 epidemiological studies,2611
10411,topic,Proteins in Food Systems,1106
10412,topic,Microfluidic and Capillary Electrophoresis Applications,2204
10413,topic,High-pressure geophysics and materials,1908
10414,topic,Cannabis and Cannabinoid Research,2736
10415,topic,International Business and FDI,1408
10416,topic,Traumatic Brain Injury Research,2713
10417,topic,Lung Cancer Treatments and Mutations,2740
10418,topic,Pelvic floor disorders treatments,2745
10419,topic,Pharmaceutical and Antibiotic Environmental Impacts,2310
10420,topic,Intracranial Aneurysms: Treatment and Complications,2728
10421,topic,Pleistocene-Era Hominins and Archaeology,3314
10422,topic,Angiogenesis and VEGF in Cancer,1312
10423,topic,Neurobiology and Insect Physiology Research,2804
10424,topic,Electric Power System Optimization,2208
10425,topic,Cold Atom Physics and Bose-Einstein Condensates,3107
10426,topic,Child Abuse and Trauma,3203
10427,topic,Visual perception and processing mechanisms,2805
10428,topic,Reproductive tract infections research,2404
10429,topic,EEG and Brain-Computer Interfaces,2805
10430,topic,Software Engineering Techniques and Practices,1710
10431,topic,Ethnobotanical and Medicinal Plants Studies,1110
10432,topic,DNA and Nucleic Acid Chemistry,1312
10433,topic,Carcinogens and Genotoxicity Assessment,1306
10434,topic,Chromosomal and Genetic Variations,1110
10435,topic,Environmental Impact and Sustainability,2305
10436,topic,Anesthesia and Sedative Agents,2703
10437,topic,Educational theories and practices,3304
10438,topic,"Energy, Environment, Economic Growth",2002
10439,topic,Climate change impacts on agriculture,1105
10440,topic,Advanced Thermoelectric Materials and Devices,2505
10441,topic,Muscle Physiology and Disorders,1312
10442,topic,Knee injuries and reconstruction techniques,2746
10443,topic,Social Policy and Reform Studies,3320
10444,topic,Context-Aware Activity Recognition Systems,1707
10445,topic,Antioxidant Activity and Oxidative Stress,2704
10446,topic,"Income, Poverty, and Inequality",3312
10447,topic,Environmental Toxicology and Ecotoxicology,2307
10448,topic,Memory and Neural Mechanisms,2805
10449,topic,Renal cell carcinoma treatment,2740
10450,topic,Aquaculture Nutrition and Growth,1104
10451,topic,Mycorrhizal Fungi and Plant Interactions,1110
10452,topic,Iron Metabolism and Disorders,2720
10453,topic,Maternal and Perinatal Health Interventions,2729
10454,topic,Optimal Power Flow Distribution,2208
10455,topic,Foot and Ankle Surgery,2732
10456,topic,Multi-Agent Systems and Negotiation,1702
10457,topic,Education Pedagogy and Practices,3304
10458,topic,Bladder and Urothelial Cancer Treatments,2746
10459,topic,Sexual function and dysfunction studies,2738
10460,topic,Electronic Packaging and Soldering Technologies,2208
10461,topic,Gas Sensing Nanomaterials and Sensors,2208
10462,topic,Reinforcement Learning in Robotics,1702
10463,topic,Pulsars and Gravitational Waves Research,3103
10464,topic,Crystal structures of chemical compounds,1604
10465,topic,Neurobiology of Language and Bilingualism,2805
10466,topic,Meteorological Phenomena and Simulations,1902
